"epoch_id","breezy-cloud-41 - _step","breezy-cloud-41 - _step__MIN","breezy-cloud-41 - _step__MAX","breezy-cloud-41 - dataset_stats.S100_N30_m3_full.gap_mean","breezy-cloud-41 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","breezy-cloud-41 - dataset_stats.S100_N30_m3_full.gap_mean__MAX","rare-waterfall-40 - _step","rare-waterfall-40 - _step__MIN","rare-waterfall-40 - _step__MAX","rare-waterfall-40 - dataset_stats.S100_N30_m3_full.gap_mean","rare-waterfall-40 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","rare-waterfall-40 - dataset_stats.S100_N30_m3_full.gap_mean__MAX","fast-waterfall-39 - _step","fast-waterfall-39 - _step__MIN","fast-waterfall-39 - _step__MAX","fast-waterfall-39 - dataset_stats.S100_N30_m3_full.gap_mean","fast-waterfall-39 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","fast-waterfall-39 - dataset_stats.S100_N30_m3_full.gap_mean__MAX","elated-dragon-38 - _step","elated-dragon-38 - _step__MIN","elated-dragon-38 - _step__MAX","elated-dragon-38 - dataset_stats.S100_N30_m3_full.gap_mean","elated-dragon-38 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","elated-dragon-38 - dataset_stats.S100_N30_m3_full.gap_mean__MAX","super-fog-37 - _step","super-fog-37 - _step__MIN","super-fog-37 - _step__MAX","super-fog-37 - dataset_stats.S100_N30_m3_full.gap_mean","super-fog-37 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","super-fog-37 - dataset_stats.S100_N30_m3_full.gap_mean__MAX","legendary-terrain-36 - _step","legendary-terrain-36 - _step__MIN","legendary-terrain-36 - _step__MAX","legendary-terrain-36 - dataset_stats.S100_N30_m3_full.gap_mean","legendary-terrain-36 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","legendary-terrain-36 - dataset_stats.S100_N30_m3_full.gap_mean__MAX","deep-forest-35 - _step","deep-forest-35 - _step__MIN","deep-forest-35 - _step__MAX","deep-forest-35 - dataset_stats.S100_N30_m3_full.gap_mean","deep-forest-35 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","deep-forest-35 - dataset_stats.S100_N30_m3_full.gap_mean__MAX","misunderstood-river-34 - _step","misunderstood-river-34 - _step__MIN","misunderstood-river-34 - _step__MAX","misunderstood-river-34 - dataset_stats.S100_N30_m3_full.gap_mean","misunderstood-river-34 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","misunderstood-river-34 - dataset_stats.S100_N30_m3_full.gap_mean__MAX","ethereal-eon-32 - _step","ethereal-eon-32 - _step__MIN","ethereal-eon-32 - _step__MAX","ethereal-eon-32 - dataset_stats.S100_N30_m3_full.gap_mean","ethereal-eon-32 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","ethereal-eon-32 - dataset_stats.S100_N30_m3_full.gap_mean__MAX","worthy-tree-28 - _step","worthy-tree-28 - _step__MIN","worthy-tree-28 - _step__MAX","worthy-tree-28 - dataset_stats.S100_N30_m3_full.gap_mean","worthy-tree-28 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","worthy-tree-28 - dataset_stats.S100_N30_m3_full.gap_mean__MAX","giddy-yogurt-27 - _step","giddy-yogurt-27 - _step__MIN","giddy-yogurt-27 - _step__MAX","giddy-yogurt-27 - dataset_stats.S100_N30_m3_full.gap_mean","giddy-yogurt-27 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","giddy-yogurt-27 - dataset_stats.S100_N30_m3_full.gap_mean__MAX","fallen-snowflake-26 - _step","fallen-snowflake-26 - _step__MIN","fallen-snowflake-26 - _step__MAX","fallen-snowflake-26 - dataset_stats.S100_N30_m3_full.gap_mean","fallen-snowflake-26 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","fallen-snowflake-26 - dataset_stats.S100_N30_m3_full.gap_mean__MAX","crimson-smoke-25 - _step","crimson-smoke-25 - _step__MIN","crimson-smoke-25 - _step__MAX","crimson-smoke-25 - dataset_stats.S100_N30_m3_full.gap_mean","crimson-smoke-25 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","crimson-smoke-25 - dataset_stats.S100_N30_m3_full.gap_mean__MAX","floral-salad-24 - _step","floral-salad-24 - _step__MIN","floral-salad-24 - _step__MAX","floral-salad-24 - dataset_stats.S100_N30_m3_full.gap_mean","floral-salad-24 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","floral-salad-24 - dataset_stats.S100_N30_m3_full.gap_mean__MAX"
"100","111","111","111","3.2063803703962526","3.2063803703962526","3.2063803703962526","111","111","111","1.8154856905023977","1.8154856905023977","1.8154856905023977","111","111","111","6.304564528789143","6.304564528789143","6.304564528789143","111","111","111","6.135314255694206","6.135314255694206","6.135314255694206","111","111","111","8.053829991614592","8.053829991614592","8.053829991614592","111","111","111","6.28459347590305","6.28459347590305","6.28459347590305","111","111","111","7.2607796747776465","7.2607796747776465","7.2607796747776465","111","111","111","1.336298310674735","1.336298310674735","1.336298310674735","111","111","111","1.235024600667569","1.235024600667569","1.235024600667569","111","111","111","1.2017838469618125","1.2017838469618125","1.2017838469618125","111","111","111","1.3932829528819721","1.3932829528819721","1.3932829528819721","111","111","111","1.3219849528772287","1.3219849528772287","1.3219849528772287","111","111","111","1.325122816905254","1.325122816905254","1.325122816905254","111","111","111","1.3293756414990079","1.3293756414990079","1.3293756414990079"
"110","122","122","122","3.19789633559325","3.19789633559325","3.19789633559325","122","122","122","1.8991783873393444","1.8991783873393444","1.8991783873393444","122","122","122","6.949105709759481","6.949105709759481","6.949105709759481","122","122","122","6.382038568272325","6.382038568272325","6.382038568272325","122","122","122","7.931887983251568","7.931887983251568","7.931887983251568","122","122","122","6.276510485232589","6.276510485232589","6.276510485232589","122","122","122","8.20800381437918","8.20800381437918","8.20800381437918","122","122","122","1.270262256224124","1.270262256224124","1.270262256224124","122","122","122","1.2654992158844918","1.2654992158844918","1.2654992158844918","122","122","122","1.1648479338138777","1.1648479338138777","1.1648479338138777","122","122","122","1.2442170194208815","1.2442170194208815","1.2442170194208815","122","122","122","1.3579614278572012","1.3579614278572012","1.3579614278572012","122","122","122","1.2720492237457386","1.2720492237457386","1.2720492237457386","122","122","122","1.2689038989499215","1.2689038989499215","1.2689038989499215"
"120","133","133","133","2.99332475759277","2.99332475759277","2.99332475759277","133","133","133","1.8857112578517257","1.8857112578517257","1.8857112578517257","133","133","133","6.104576830490064","6.104576830490064","6.104576830490064","133","133","133","6.338410739428365","6.338410739428365","6.338410739428365","133","133","133","7.9166426598744515","7.9166426598744515","7.9166426598744515","133","133","133","6.267706132735996","6.267706132735996","6.267706132735996","133","133","133","8.296315844812163","8.296315844812163","8.296315844812163","133","133","133","1.2619104725601344","1.2619104725601344","1.2619104725601344","133","133","133","1.2602889053773862","1.2602889053773862","1.2602889053773862","133","133","133","1.1554721602632967","1.1554721602632967","1.1554721602632967","133","133","133","1.1414209597106924","1.1414209597106924","1.1414209597106924","133","133","133","1.4635948278079371","1.4635948278079371","1.4635948278079371","133","133","133","1.2736894747074516","1.2736894747074516","1.2736894747074516","133","133","133","1.268967206756562","1.268967206756562","1.268967206756562"
"130","144","144","144","2.978153020003239","2.978153020003239","2.978153020003239","144","144","144","1.893301434066941","1.893301434066941","1.893301434066941","144","144","144","5.886888955008614","5.886888955008614","5.886888955008614","144","144","144","6.105565316591006","6.105565316591006","6.105565316591006","144","144","144","8.048835755094915","8.048835755094915","8.048835755094915","144","144","144","6.359824372486436","6.359824372486436","6.359824372486436","144","144","144","8.142563337838903","8.142563337838903","8.142563337838903","144","144","144","1.3357950221050265","1.3357950221050265","1.3357950221050265","144","144","144","1.2675852720527938","1.2675852720527938","1.2675852720527938","144","144","144","1.2012040952316665","1.2012040952316665","1.2012040952316665","144","144","144","1.2710563956372782","1.2710563956372782","1.2710563956372782","144","144","144","1.3173017499278663","1.3173017499278663","1.3173017499278663","144","144","144","1.285166567440124","1.285166567440124","1.285166567440124","144","144","144","1.2616686217225885","1.2616686217225885","1.2616686217225885"
"140","155","155","155","3.142559476110313","3.142559476110313","3.142559476110313","155","155","155","1.8235581959283027","1.8235581959283027","1.8235581959283027","155","155","155","6.297299592685879","6.297299592685879","6.297299592685879","155","155","155","6.013356515345062","6.013356515345062","6.013356515345062","155","155","155","7.881042768067369","7.881042768067369","7.881042768067369","155","155","155","6.337159817710118","6.337159817710118","6.337159817710118","155","155","155","8.07880982413375","8.07880982413375","8.07880982413375","155","155","155","1.3444122964011869","1.3444122964011869","1.3444122964011869","155","155","155","1.2349114516692856","1.2349114516692856","1.2349114516692856","155","155","155","1.224976022807576","1.224976022807576","1.224976022807576","155","155","155","1.2617693219483668","1.2617693219483668","1.2617693219483668","155","155","155","1.2548469075216122","1.2548469075216122","1.2548469075216122","155","155","155","1.317690770067939","1.317690770067939","1.317690770067939","155","155","155","1.2605427733450623","1.2605427733450623","1.2605427733450623"
"150","166","166","166","3.239713493007776","3.239713493007776","3.239713493007776","166","166","166","2.0584642938014905","2.0584642938014905","2.0584642938014905","166","166","166","6.220276086613825","6.220276086613825","6.220276086613825","166","166","166","5.998378337527965","5.998378337527965","5.998378337527965","166","166","166","7.952328420201359","7.952328420201359","7.952328420201359","166","166","166","6.2329019788241915","6.2329019788241915","6.2329019788241915","166","166","166","7.9248448233432365","7.9248448233432365","7.9248448233432365","166","166","166","1.3594844860724897","1.3594844860724897","1.3594844860724897","166","166","166","1.209006770027523","1.209006770027523","1.209006770027523","166","166","166","1.1915308996871004","1.1915308996871004","1.1915308996871004","166","166","166","1.2842797270993471","1.2842797270993471","1.2842797270993471","166","166","166","1.2853610882105806","1.2853610882105806","1.2853610882105806","166","166","166","1.3314585584715914","1.3314585584715914","1.3314585584715914","166","166","166","1.2795704093656008","1.2795704093656008","1.2795704093656008"
"160","177","177","177","3.2365183653057774","3.2365183653057774","3.2365183653057774","177","177","177","2.700414856742982","2.700414856742982","2.700414856742982","177","177","177","5.604205782601457","5.604205782601457","5.604205782601457","177","177","177","5.829888265037389","5.829888265037389","5.829888265037389","177","177","177","8.080028925615041","8.080028925615041","8.080028925615041","177","177","177","6.295755351966647","6.295755351966647","6.295755351966647","177","177","177","8.309089201143612","8.309089201143612","8.309089201143612","177","177","177","1.2586969487838315","1.2586969487838315","1.2586969487838315","177","177","177","1.1547131183794621","1.1547131183794621","1.1547131183794621","177","177","177","1.1893306432850566","1.1893306432850566","1.1893306432850566","177","177","177","1.2035244095379467","1.2035244095379467","1.2035244095379467","177","177","177","1.2755137705120194","1.2755137705120194","1.2755137705120194","177","177","177","1.2695495211347414","1.2695495211347414","1.2695495211347414","177","177","177","1.3426321197518454","1.3426321197518454","1.3426321197518454"
"170","188","188","188","3.0804350182123725","3.0804350182123725","3.0804350182123725","188","188","188","2.6025201440581247","2.6025201440581247","2.6025201440581247","188","188","188","5.281145736251169","5.281145736251169","5.281145736251169","188","188","188","6.124348962885231","6.124348962885231","6.124348962885231","188","188","188","8.172298535377033","8.172298535377033","8.172298535377033","188","188","188","6.304164853391651","6.304164853391651","6.304164853391651","188","188","188","8.311945215058158","8.311945215058158","8.311945215058158","188","188","188","1.270302846314835","1.270302846314835","1.270302846314835","188","188","188","1.1508998365148253","1.1508998365148253","1.1508998365148253","188","188","188","1.1774469146293354","1.1774469146293354","1.1774469146293354","188","188","188","1.3003769839462336","1.3003769839462336","1.3003769839462336","188","188","188","1.2581037014778695","1.2581037014778695","1.2581037014778695","188","188","188","1.268324838169516","1.268324838169516","1.268324838169516","188","188","188","1.463400892197281","1.463400892197281","1.463400892197281"
"180","199","199","199","3.0786369967889082","3.0786369967889082","3.0786369967889082","199","199","199","2.6833066146360176","2.6833066146360176","2.6833066146360176","199","199","199","5.304098862746048","5.304098862746048","5.304098862746048","199","199","199","6.350253428594673","6.350253428594673","6.350253428594673","199","199","199","8.182083546780342","8.182083546780342","8.182083546780342","199","199","199","6.292067559571142","6.292067559571142","6.292067559571142","199","199","199","8.267904209311979","8.267904209311979","8.267904209311979","199","199","199","1.2755558637839477","1.2755558637839477","1.2755558637839477","199","199","199","1.1483000676596788","1.1483000676596788","1.1483000676596788","199","199","199","1.1804137843976363","1.1804137843976363","1.1804137843976363","199","199","199","1.2992124093173403","1.2992124093173403","1.2992124093173403","199","199","199","1.2787367371452953","1.2787367371452953","1.2787367371452953","199","199","199","1.2217869105068004","1.2217869105068004","1.2217869105068004","199","199","199","1.6059244400293233","1.6059244400293233","1.6059244400293233"
"190","210","210","210","3.0786369967889082","3.0786369967889082","3.0786369967889082","210","210","210","2.9717366108069454","2.9717366108069454","2.9717366108069454","210","210","210","5.2447489443640425","5.2447489443640425","5.2447489443640425","210","210","210","6.369858144509701","6.369858144509701","6.369858144509701","210","210","210","8.171079845938346","8.171079845938346","8.171079845938346","210","210","210","6.397156456191351","6.397156456191351","6.397156456191351","210","210","210","8.310395478814538","8.310395478814538","8.310395478814538","210","210","210","1.2676823651157014","1.2676823651157014","1.2676823651157014","210","210","210","1.1581480932328905","1.1581480932328905","1.1581480932328905","210","210","210","1.2094796778999228","1.2094796778999228","1.2094796778999228","210","210","210","1.2858575787693416","1.2858575787693416","1.2858575787693416","210","210","210","1.2640132368780927","1.2640132368780927","1.2640132368780927","210","210","210","1.235499690554624","1.235499690554624","1.235499690554624","210","210","210","1.5798552644877923","1.5798552644877923","1.5798552644877923"
"200","221","221","221","3.113815070126776","3.113815070126776","3.113815070126776","221","221","221","2.913342396321446","2.913342396321446","2.913342396321446","221","221","221","5.29102651615651","5.29102651615651","5.29102651615651","221","221","221","6.577508670856904","6.577508670856904","6.577508670856904","221","221","221","8.220220941057374","8.220220941057374","8.220220941057374","221","221","221","6.428119507830285","6.428119507830285","6.428119507830285","221","221","221","8.312710883069396","8.312710883069396","8.312710883069396","221","221","221","1.2768154020406604","1.2768154020406604","1.2768154020406604","221","221","221","1.1777237312537332","1.1777237312537332","1.1777237312537332","221","221","221","1.2392440519632257","1.2392440519632257","1.2392440519632257","221","221","221","1.2790433928795104","1.2790433928795104","1.2790433928795104","221","221","221","1.2543275299855656","1.2543275299855656","1.2543275299855656","221","221","221","1.1907979046245147","1.1907979046245147","1.1907979046245147","221","221","221","1.5891670157165754","1.5891670157165754","1.5891670157165754"
